NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"FORT PIERCE, FL US",27.4419,-80.3508,8/13/2004,,,charley
"FORT PIERCE ARC, FL US",27.4272,-80.4053,8/13/2004,,,charley
"BIG CYPRESS, FL US",26.3283,-80.9958,8/13/2004,,,charley
"HOMESTEAD GEN AVIATION AIRPORT, FL US",25.5011,-80.55,8/13/2004,,,charley
"LOXAHATCHEE NWR, FL US",26.4985,-80.216,8/13/2004,,,charley
"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",30.49529,-81.69374,8/14/2004,6.49,19.9,charley
"BRISTOL 2 S, FL US",30.3794,-84.9788,8/13/2004,,,charley
"BLOXHAM FLORIDA, FL US",30.5872,-84.9886,8/13/2004,,,charley
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,8/13/2004,,,charley
"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,8/13/2004,7.16,13.0,charley
"CROSS CITY 1 E, FL US",29.6333,-83.1053,8/13/2004,,,charley
"OCEAN CITY 1.3 NNW, FL US",30.45525,-86.61544,8/13/2004,,,charley
"LISBON, FL US",28.8728,-81.7844,8/13/2004,,,charley
"WEEKI WACHEE, FL US",28.5175,-82.5756,8/13/2004,,,charley
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,8/13/2004,,,charley
"MARIANNA MUNICIPAL AIRPORT, FL US",30.83696,-85.18352,8/13/2004,6.93,13.0,charley
"PENSACOLA REGIONAL AIRPORT, FL US",30.47612,-87.18575,8/13/2004,9.84,16.1,charley
"CANAL POINT USDA, FL US",26.8639,-80.6256,8/13/2004,,,charley
"LA BELLE, FL US",26.7459,-81.4265,8/14/2004,,,charley
"NAVAL LIVE OAKS FLORIDA, FL US",30.3664,-87.1375,8/13/2004,,,charley
"MAYPORT PILOT STATION, FL US",30.4,-81.41667,8/13/2004,,31.1,charley
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,8/13/2004,,,charley
"OCHOPEE FLORIDA, FL US",25.9167,-81.2833,8/13/2004,,,charley
"WHITE SPRINGS 7 N, FL US",30.4392,-82.7847,8/13/2004,,,charley
"WAUCHULA, FL US",27.5477,-81.7994,8/13/2004,,,charley
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,8/13/2004,9.17,34.9,charley
"MARATHON AIRPORT, FL US",24.72624,-81.0477,8/13/2004,12.97,28.0,charley
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,8/13/2004,11.41,23.9,charley
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,8/13/2004,17.22,61.1,charley
"PANACEA, FL US",29.99889,-84.485,8/13/2004,,,charley
"DELAND 1 SSE, FL US",29.00982,-81.29804,8/13/2004,,,charley
"DE FUNIAK SPRINGS 1 E, FL US",30.72444,-86.09389,8/13/2004,,,charley
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,8/13/2004,,,charley
"MELBOURNE WEATHER FORECAST OFFICE, FL US",28.1136,-80.654,8/13/2004,,,charley
"OASIS FLORIDA, FL US",25.85,-81.03,8/13/2004,,,charley
"DAYTONA BEACH, FL US",29.1966,-81.0084,8/13/2004,,,charley
"NAPLES, FL US",26.1653,-81.6843,8/13/2004,,,charley
"PALATKA, FL US",29.64389,-81.66056,8/13/2004,,,charley
"IMMOKALEE, FL US",26.46222,-81.44056,8/13/2004,,,charley
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,8/14/2004,5.37,23.9,charley
"PENSACOLA 7 NNE, FL US",30.5301,-87.19847,8/13/2004,,,charley
"PERRY FOLEY AIRPORT, FL US",30.07194,-83.57361,8/13/2004,4.47,14.1,charley
"MIAMI NWSFO, FL US",25.7553,-80.3836,8/13/2004,,,charley
"JUNO BEACH, FL US",26.86,-80.0552,8/13/2004,,,charley
"MILTON EXPERIMENT ST, FL US",30.77944,-87.14139,8/13/2004,,,charley
"PARRISH, FL US",27.609,-82.3476,8/13/2004,,,charley
"PALM BEACH GARDENS, FL US",26.8261,-80.1488,8/13/2004,,,charley
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,8/13/2004,,,charley
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,8/13/2004,,,charley
"DESOTO CITY, FL US",27.3697,-81.5136,8/13/2004,,,charley
"SAINT LEO, FL US",28.3378,-82.26,8/13/2004,,,charley
"FORT DRUM, FL US",27.51389,-80.76944,8/13/2004,,,charley
"OASIS RANGER STATION, FL US",25.8604,-81.033,8/13/2004,,,charley
"PALM COAST 6 NE, FL US",29.6319,-81.2061,8/13/2004,,,charley
"TITUSVILLE, FL US",28.6243,-80.817,8/13/2004,,,charley
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,8/13/2004,,,charley
"CLARKSVILLE 2 N, FL US",30.46472,-85.19917,8/13/2004,,,charley
"ORANGE SPRINGS 2 SSW, FL US",29.4794,-81.9681,8/13/2004,,,charley
"ST AUGUSTINE LIGHTHOUSE, FL US",29.8858,-81.2883,8/13/2004,,,charley
"HIALEAH, FL US",25.8175,-80.2858,8/13/2004,,,charley
"PERRINE 4 W, FL US",25.5819,-80.4361,8/13/2004,,,charley
"NEW SMYRNA BEACH MARINE DISCOVERY CENTER, FL US",29.0361,-80.918,8/13/2004,,,charley
"WEWAHITCHKA, FL US",30.1191,-85.2041,8/13/2004,,,charley
"PERRY, FL US",30.09861,-83.57417,8/13/2004,,,charley
"BUSHNELL 1 E, FL US",28.66641,-82.08947,8/13/2004,,,charley
"BROOKSVILLE CHIN HIL, FL US",28.6164,-82.3658,8/13/2004,,,charley
"BRIGHTON RESERVATION, FL US",27.0436,-81.0701,8/13/2004,,,charley
"FERNANDINA BEACH, FL US",30.6669,-81.4525,8/13/2004,,,charley
"MAYO, FL US",30.1063,-83.1819,8/13/2004,,,charley
"CRESCENT CITY, FL US",29.425,-81.5161,8/13/2004,,,charley
"CORAL SPRINGS, FL US",26.26778,-80.275,8/13/2004,,,charley
"PANAMA CITY BAY CO AIRPORT, FL US",30.21194,-85.68278,8/13/2004,10.96,16.1,charley
"GLEN ST MARY 1 W, FL US",30.2717,-82.1856,8/13/2004,,,charley
"LIVE OAK, FL US",30.2889,-82.965,8/13/2004,,,charley
"PUNTA GORDA 4 ESE, FL US",26.91463,-81.99682,8/13/2004,,,charley
"MYAKKA RIVER ST PK, FL US",27.24012,-82.31525,8/13/2004,,,charley
"MOORE HAVEN LOCK 1, FL US",26.84,-81.0872,8/13/2004,,,charley
"VERO BEACH 4 SE, FL US",27.6527,-80.403,8/13/2004,,,charley
"ISLAMORADA, FL US",24.9177,-80.6364,8/13/2004,,,charley
"SOUTH BAY 15 S, FL US",26.47,-80.6402,8/13/2004,,,charley
"CAPE FLORIDA, FL US",25.6719,-80.1566,8/13/2004,,,charley
"WINTER HAVEN, FL US",28.0153,-81.7331,8/13/2004,,,charley
"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936,8/13/2004,,,charley
"FORT LAUDERDALE, FL US",26.1019,-80.2011,8/13/2004,,,charley
"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.17351,-81.07185,8/13/2004,8.28,0.0,charley
"ST PETERSBURG, FL US",27.76846,-82.62569,8/13/2004,,,charley
"CROSS CITY AIRPORT, FL US",29.63333,-83.10528,8/13/2004,4.47,14.1,charley
"FORT LAUDERDALE BEACH, FL US",26.1408,-80.1061,8/13/2004,,,charley
"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,8/13/2004,6.93,12.1,charley
"CHIPLEY, FL US",30.7806,-85.5503,8/13/2004,,,charley
"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,8/13/2004,,,charley
"ARCADIA, FL US",27.21785,-81.8742,8/13/2004,,,charley
"MIAMI INTERNATIONAL AIRPORT, FL US",25.78805,-80.31694,8/13/2004,13.65,30.0,charley
"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.09969,-80.6356,8/13/2004,13.87,33.1,charley
"KEY WEST INTERNATIONAL AIRPORT, FL US",24.55706,-81.75539,8/13/2004,19.46,48.1,charley
"FORT MYERS PAGE FIELD AIRPORT, FL US",26.58495,-81.86146,8/13/2004,15.88,50.1,charley
"OLUSTEE FLORIDA, FL US",30.2,-82.4,8/13/2004,,,charley
"MILES CITY FLORIDA, FL US",26.2483,-81.2967,8/13/2004,,,charley
"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",26.6851,-80.09918,8/13/2004,12.75,31.1,charley
"VERO BEACH INTERNATIONAL AIRPORT, FL US",27.6553,-80.41425,8/13/2004,12.75,25.9,charley
"TAMPA INTERNATIONAL AIRPORT, FL US",27.96331,-82.54,8/13/2004,7.61,23.0,charley
"ORLANDO EXECUTIVE AIRPORT, FL US",28.54653,-81.33544,8/13/2004,12.3,66.0,charley
"MARCO ISLAND, FL US",25.9491,-81.7138,8/13/2004,,,charley
"TEN MILE CORNER FLORIDA, FL US",25.6097,-80.8503,8/13/2004,,,charley
"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,8/13/2004,,,charley
"SANFORD, FL US",28.8147,-81.2778,8/13/2004,,,charley
"ST. MARKS EAST FLORIDA, FL US",30.1333,-84.1333,8/13/2004,,,charley
"PLANTATION, FL US",26.11083,-80.27278,8/13/2004,,,charley
"USHER TOWER, FL US",29.40807,-82.8188,8/13/2004,,,charley
"FLAMINGO RANGER STATION, FL US",25.1422,-80.9144,8/13/2004,,,charley
"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",26.91847,-81.99391,8/13/2004,8.05,,charley
"DEVILS GARDEN, FL US",26.66388,-81.08998,8/13/2004,,,charley
"ST MARKS NWR, FL US",30.19222,-84.21167,8/13/2004,,,charley
"CLERMONT 9 S, FL US",28.4558,-81.7234,8/13/2004,,,charley
"EVERGLADES, FL US",25.8489,-81.3896,8/13/2004,,,charley
"FOREVER FLORIDA, FL US",28.0425,-81.03722,8/13/2004,,,charley
"ORTONA LOCK 2, FL US",26.7897,-81.3044,8/13/2004,,,charley
"OCALA, FL US",29.1638,-82.0777,8/13/2004,,,charley
"LEESBURG MUNICIPAL AIRPORT, FL US",28.82143,-81.80963,8/13/2004,8.72,29.1,charley
"BROOKSVILLE HERNANDO CO AIRPORT, FL US",28.47388,-82.45374,8/13/2004,7.38,13.0,charley
"HIGH SPRINGS, FL US",29.8286,-82.5972,8/13/2004,,,charley
"LAKELAND 2, FL US",27.99437,-82.01378,8/13/2004,,,charley
"GAINESVILLE REGIONAL AIRPORT, FL US",29.6917,-82.27603,8/13/2004,5.37,19.9,charley
"ORLANDO INTERNATIONAL AIRPORT, FL US",28.41822,-81.32413,8/13/2004,14.32,79.0,charley
"JACKSONVILLE NAS, FL US",30.23333,-81.66667,8/13/2004,,28.0,charley
"FORT GREEN 12 WSW, FL US",27.57264,-82.1393,8/13/2004,,,charley
"JACKSONVILLE BEACH, FL US",30.2875,-81.3927,8/13/2004,,,charley
"CLEWISTON NUMBER 2, FL US",26.73611,-81.04917,8/13/2004,,,charley
"TAVERNIER, FL US",25.0069,-80.5211,8/13/2004,,,charley
"ROYAL PALM BEACH WEST, FL US",26.8561,-80.3008,8/13/2004,,,charley
"DESTIN FORT WALTON BEACH AIRPORT, FL US",30.39333,-86.46738,8/13/2004,11.41,16.1,charley
"MIDDLEBURG, FL US",30.0603,-81.8475,8/13/2004,,,charley
"SANBORN FLORIDA, FL US",30.23,-84.68,8/13/2004,,,charley
"MERRITT ISLAND FLORIDA, FL US",28.6408,-80.7308,8/13/2004,,,charley
"WILMA FLORIDA, FL US",30.1694,-84.9344,8/13/2004,,,charley
"HOLLYWOOD, FL US",26.0281,-80.1341,8/13/2004,,,charley
"PLANT CITY, FL US",28.02084,-82.13855,8/13/2004,,,charley
"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,8/13/2004,12.75,,charley
"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,8/13/2004,9.62,25.1,charley
"LAKE CITY 2 E, FL US",30.1852,-82.5941,8/13/2004,,,charley
"MIAMI BEACH, FL US",25.8063,-80.1334,8/13/2004,,,charley
"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,8/13/2004,9.4,31.1,charley
"KISSIMMEE 2, FL US",28.2763,-81.424,8/13/2004,,,charley
"BRADENTON, FL US",27.4467,-82.5014,8/13/2004,,,charley
"NICEVILLE, FL US",30.5316,-86.4928,8/13/2004,,,charley
"TAMPA BAY AREA WEATHER FORECAST OFFICE, FL US",27.70532,-82.40092,8/13/2004,,,charley
"WESTON, FL US",26.09333,-80.39528,8/13/2004,,,charley
"POMPANO BEACH AIRPARK, FL US",26.24636,-80.11105,8/13/2004,15.66,28.0,charley
"MADISON, FL US",30.4653,-83.4021,8/13/2004,,,charley
"ST PETERSBURG ALBERT WHITTED AIRPORT, FL US",27.76847,-82.62568,8/13/2004,12.08,31.1,charley
"OKEECHOBEE, FL US",27.15083,-80.86528,8/13/2004,,,charley
"TAMIAMI TRAIL 40 MI. BEND, FL US",25.7608,-80.8241,8/13/2004,,,charley
"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,8/13/2004,,,charley
"HOLLYWOOD NORTH PERRY AIRPORT, FL US",25.99956,-80.24119,8/13/2004,13.2,30.0,charley
"MIAMI KENDALL TAMIAMI EXEC AIRPORT, FL US",25.64226,-80.43467,8/13/2004,11.41,25.9,charley
"DUCK KEY, FL US",24.77048,-80.9073,8/13/2004,,,charley
"FORT LAUDERDALE EXECUTIVE AIRPORT, FL US",26.19905,-80.17764,8/13/2004,13.87,36.9,charley
"CACHE FLORIDA, FL US",25.3903,-80.6803,8/13/2004,,,charley
"NEW HOPE, FL US",30.9538,-85.883,8/13/2004,,,charley
"MIAMI OPA LOCKA AIRPORT, FL US",25.91017,-80.28283,8/13/2004,14.54,33.1,charley
"ARCHBOLD BIO STATION, FL US",27.1819,-81.3508,8/13/2004,,,charley
"BARTOW 1 SE, FL US",27.88608,-81.83251,8/13/2004,,,charley
"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,8/13/2004,13.65,36.0,charley
"SEA HAG MARINA, FL US",29.67111,-83.38833,8/13/2004,,,charley
"TALLAHASSEE REGIONAL AIRPORT, FL US",30.39354,-84.35136,8/14/2004,4.7,10.1,charley
"JASPER, FL US",30.5228,-82.9447,8/13/2004,,,charley
"PORT SALERNO 5 W, FL US",27.0997,-80.2627,8/13/2004,,,charley
"QUINCY 3 SSW, FL US",30.54972,-84.58361,8/13/2004,,,charley
"HILLSBOROUGH RVR ST PARK, FL US",28.1469,-82.2276,8/13/2004,,,charley
"BELL 4 NW, FL US",29.79556,-82.91778,8/13/2004,,,charley
"TALLAHASSEE AIRPORT, FL US",30.3961,-84.3555,8/13/2004,,,charley
"AVON PARK 2 W, FL US",27.5947,-81.5266,8/13/2004,,,charley
"OCALA WEATHER SERVICE, FL US",29.08046,-82.173797,8/13/2004,,,charley
"VENICE, FL US",27.1006,-82.4364,8/13/2004,,,charley
"INVERNESS 3 SE, FL US",28.80286,-82.31266,8/13/2004,,,charley
"MARIANNA 7 NE, FL US",30.7341,-85.0305,8/13/2004,,,charley
"STARKE, FL US",29.9381,-82.1163,8/13/2004,,,charley
"HASTINGS 4 NE, FL US",29.7652,-81.4697,8/13/2004,,,charley
"LAKE BUTLER, FL US",29.9453,-82.3314,8/13/2004,,,charley
